country,weeks_parental_leave
Australia,7.7
Austria,49.4
Belgium,13.1
Canada,26.6
Chile,30
Czech Republic,46.9
Denmark,26.5
Estonia,84.4
Finland,40.4
France,18
Germany,42.6
Greece,21.3
Hungary,68.2
Iceland,17.7
Ireland,6.9
Israel,15
Italy,25.2
Japan,35.8
Korea,25.1
Latvia,51.6
Lithuania,62
Luxembourg,31.6
Mexico,12
Netherlands,16
New Zealand,8.4
Norway,43
Poland,41.6
Portugal,20.4
Slovak Republic,53.1
Slovenia,48.4
Spain,16
Sweden,34.6
Switzerland,8.2
Turkey,10.7
United Kingdom,11.7
United States,0
Costa Rica,17.3
Bulgaria,69.7
Croatia,40.9
Cyprus,13.5
Malta,15.5